procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 265760 150540  17096 173424    1    0     1   135  261 3818  8  3 89  0  0
 0  0 265760 147052  17104 173424    0    0     0    22  107 1534  4  1 95  0  0
 0  0 265756 145828  17112 170864    1    0     1     6  177 2524  8  2 90  0  0
 0  0 265756 142976  17120 173388    0    0     0    10  412 4608 21  4 75  0  0
 0  0 265752 147316  17128 173384    1    0     1     8  286 3742 11  2 86  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 265752 147316  17128 173384    0    0     0     0  119 1155  3  1 96  0  0
 0  0 265752 153516  17136 173380    0    0     0     6  158 2219  5  2 93  0  0
 1  0 265728 150168  17144 173392    7    0     7     6  278 3185 16  4 80  0  0
 0  0 265672 150044  17168 173392   14    0    14   121  373 3870 20  4 76  1  0
 0  0 265672 149672  17176 173404    0    0     0    10  320 3474 17  4 79  0  0
 2  0 265648 149300  17184 173404    7    0     7     5  452 5208 26  6 68  0  0
 0  2 265624 148060  17196 174228    5    0   170     5  422 4913 25  4 70  0  0
 0  0 265480 146076  17204 174820   48    0   170     6  266 3670  9  2 88  1  0
 1  0 265480 146060  17208 174820    0    0     1     0  115 1256  2  1 96  0  0
 0  0 265460 149920  17216 170696    6    0    73     7  388 5762 18  5 77  0  0
 0  0 265460 148292  17224 172660    0    0     0    13  182 2077  6  2 92  0  0
 0  0 265452 145068  17232 175168    2    0     2   102  366 4769 18  5 77  0  0
 0  0 265452 145084  17248 175164    0    0     0    34  103 1110  3  1 96  0  0
 0  0 265452 144960  17264 175164    0    0     0    13   89  767  2  1 97  0  0
 0  0 265452 144960  17272 175164    0    0     0    10   85  680  2  0 98  0  0
 0  0 265452 144960  17280 175160    0    0     0     6   86  819  2  1 97  0  0
 0  0 265452 144960  17280 175164    0    0     0    12   87  692  2  1 98  0  0
 0  0 265420 143100  17288 175172   10    0    10     7   97  990  4  1 95  0  0
 0  0 265420 143100  17296 175176    0    0     0    79   83  636  2  1 98  0  0
 0  0 265416 143452  17304 175172    5    0     5     6  110 1145  2  1 97  0  0
 1  0 265408  64748  17304 175188    2    0     4     0  165 1154 19  1 79  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 334924  72956    396 100920    0 13903   215 14008  292 1200 40  6 39 15  0
 0  7 443440  84324    284  64232    0 21703  2715 21710  397 1262 54  5 23 18  0
 0  0 446084  76884    732  81248    1  530  4960   534  450 1110 66  3 18 13  0
 0  0 446084  74280    740  83852    0    0   510     6  281  859 58  1 40  1  0
 3  0 446080  71800    748  86284    1    0   494     6  301  924 66  1 32  0  0
 1  0 446080  70560   1744  86504    0    0   226     0  370  498 84  1 15  0  0
 0  0 446080  69924   1752  87088    0    0   105     5  235  527 53  1 46  0  0
 1  0 446076  63864   2032  92340    1    0  1086     7  361  623 85  1 14  0  0
 2  0 446076  63616   2040  92656    0    0    52   106  179  527 34  1 65  0  0
 4  0 446076  62120   2196  94524    0    0   375    40  311  823 65  0 34  0  0
 0  1 548296  59488   3576  84096  238 20564  1937 20590  317  879 34  4 53  9  0
 1  0 578444 112448   3592  83140   46 6081   409  6090  352  898 62  2 10 26  0
 0  0 578372 112352   3608  83332    0    0    24     6  256  708 52  0 47  0  0
 1  0 578240 114460   3616  85352    2    0   395     6  311  498 69  0 30  0  0
 0  0 578220 114336   3624  85424    0    0     2    26  328  461 76  0 23  0  0
 3  0 578216 114212   3632  85488    0    0     2    62  154  380 30  0 69  0  0
 2  0 578180 114088   3640  85552    2    0     4     6  327  467 80  0 20  0  0
 2  0 578164 113964   3664  85680    2    0     3    67  153  419 30  0 70  0  0
 0  0 578148 113964   3672  85680    2    0     2     7  336  541 82  0 18  0  0
 0  0 578144 113964   3680  85680    0    0     0     5  158  433 27  1 72  0  0
 3  0 577884 113476   3696  85996   35    0    98    18  325  425 74  0 26  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 577860 146468   4948  91412    3    0  1331    39  243  509 42  1 56  1  0
 0  0 577716 224588   4956  91748   45    0   111     7  163  494 28  0 71  1  0
 0  0 577700 381544   4964  91744    2    0     2     7   67  576  2  0 98  0  0
 0  0 577608 460188   4972  91744    0    0     0     9   60  532  1  0 98  0  0
